Customer ID,Full Name,Email Address,Phone Number,Signup Date,Last Login,Age,Gender,Country,City,Account Balance,Is Active,Subscription Plan,Referral Source,Feedback Score,Device Type,Login Count,Average Session (mins),Total Spend,Last Purchase Date
8e86669f-74ce-4f8e-9068-e652bef8fb51,Mrs. Karen Smith,gschmitt@gmail.com,(828)415-7543x97282,1981-10-20,1984-03-01T20:08:03,61,Female,Central African Republic,Anthonyport,$2322,Yes,Free,Google,2.2,iOS,480,68.53,1431.06,1976-12-18
77c03831-995f-4bfe-a257-cb5865995d0a,Jack Lee,tammy81@ramirez.info,+1-102-620-2113x43105,1972-10-24,1977-06-29T22:57:31,25,Female,Falkland Islands (Malvinas),North Justinhaven,$151,No,Basic,Google,3.1,Android,294,109.57,2553.04,1996-12-03
05413e41-297b-47d7-8842-b17bf740efd0,Peter Morrison,adam96@hayden.info,648.062.6164x292,2005-04-25,1989-05-06T07:18:13,54,Other,Austria,Leahmouth,$389,No,Enterprise,Google,3.0,iOS,453,96.96,5686.84,2013-04-15
a83f48cb-c4e9-4908-9380-3f8d18a03e1d,Emily Flores,mendezelizabeth@smith-stokes.biz,245.782.3344x71696,2008-11-30,2009-02-26T08:55:33,40,Male,Venezuela,South Alex,$4060,No,Free,Facebook,4.4,iOS,301,55.27,2691.5,1988-11-11
e51c6ee4-c90a-4577-9e41-796547bace22,Jerry Meyers,parkerlauren@gmail.com,3288250717,2012-07-27,2023-03-20T05:56:22,50,Female,Saint Martin,Smithfurt,$3983,No,Free,Facebook,3.4,Android,304,74.45,2858.43,1989-10-20
0ff748ca-19d9-4c1c-abbb-072c6ee1e650,Joel Smith,norrisamanda@valdez.com,+1-952-926-3150x01619,2013-11-04,1981-10-23T22:28:43,35,Female,Eritrea,Diazhaven,$9382,Yes,Premium,Google,4.4,Android,410,13.46,6324.95,1974-11-23
b0aad57d-0595-495e-985c-aed6aaa9053b,Joseph Frazier,donaldwatson@keith.com,228.305.2071x083,1982-07-28,1972-05-27T14:13:51,52,Male,Finland,Carmenborough,$2350,No,Basic,Friend,1.6,Web,220,7.3,9970.47,1982-02-08
e140742f-0692-4b40-9bb2-e0563db2617c,Danielle Floyd,garynavarro@hughes.com,268-111-6625,2024-10-11,2018-09-21T16:39:05,29,Male,Estonia,Hernandeztown,$4742,No,Free,Twitter,1.5,Android,141,70.31,5115.42,1996-03-24
b3c325d1-c17b-41b3-9370-615aaae4a8cf,Steven Lynch,murphywalter@raymond.com,447-207-0541x97409,1972-10-13,1988-03-28T22:08:09,68,Other,Panama,New Jeffreymouth,$3257,No,Enterprise,Twitter,4.3,Web,12,53.62,5182.76,2022-09-02
088338ae-ea2c-4472-b0e3-eb8efa0367fd,Jacob Chen,cwells@gmail.com,(529)773-4177x05494,1994-08-24,2020-11-06T07:44:50,18,Male,Barbados,Annaton,$519,No,Basic,Facebook,2.0,iOS,177,85.27,4836.14,2000-10-31
84665e41-3cea-4516-bf10-e4871caef79b,Frank Mcneil,darren16@gmail.com,(637)482-2226,2024-01-29,1988-04-30T08:17:19,30,Male,United States Virgin Islands,Port Franklinton,$6877,Yes,Premium,Google,4.8,Web,240,83.2,4782.22,1988-01-11
1ea138d0-334e-4e89-9038-90227f495d7c,Nathan Nichols,simsvincent@yahoo.com,371.884.7213,1987-01-29,1976-07-12T21:58:25,71,Other,San Marino,Lake Ellenton,$6082,No,Free,Friend,3.3,Web,324,42.3,4577.63,1976-10-06
7f79a09d-9bd4-4558-a468-f0c344be898e,Amanda Hughes,angie34@butler.com,+1-184-053-6609x82678,1988-07-07,1991-02-25T19:43:59,37,Female,Saint Vincent and the Grenadines,East Austinport,$733,Yes,Free,Facebook,2.4,Tablet,131,61.6,2409.36,2012-12-03
a4ec3156-830d-4fa7-86b9-7b5d624d2a0b,Steven Kelley,fmccoy@gmail.com,001-261-498-6309x46594,1998-04-12,2002-10-29T11:11:58,59,Male,Paraguay,Andrewsview,$8783,No,Basic,Friend,1.4,iOS,240,3.72,955.26,1998-06-08
12608385-865d-4add-bd6d-b825ce1207e4,Melissa Santana,dukejennifer@hotmail.com,976-605-5984x083,1989-12-11,1995-04-13T02:47:23,73,Other,Oman,North Tristan,$974,Yes,Enterprise,Friend,2.4,Web,135,69.8,2297.61,1977-10-30
144b999b-eebf-4576-a1f9-6a09bdceaf34,Hannah Baker,danny54@dodson-taylor.com,438.178.2662x300,1986-04-21,1975-07-17T23:31:44,68,Female,Djibouti,North Timothychester,$5418,Yes,Free,Twitter,1.8,iOS,297,35.0,5003.05,2017-07-30
ff566ef7-6639-499e-8f43-344736f01d84,Brenda Rodriguez,holmesmichael@sandoval-galloway.com,198.038.5875x42145,1999-02-04,2008-10-22T00:54:55,46,Male,Montserrat,Combschester,$8817,Yes,Basic,Friend,1.4,Tablet,438,95.6,817.63,1996-09-30
22d8a8a2-c662-435a-b9c4-83e1a02105ab,Ashley Todd,emilymonroe@gmail.com,(558)441-4304,2015-07-24,1980-01-23T01:26:29,66,Male,Colombia,Danielburgh,$1849,Yes,Basic,Google,4.9,iOS,184,84.52,1461.3,1974-04-06
addc959d-4f1a-49a6-8af7-13f66476cce7,Thomas Nicholson,xjones@ramirez.com,001-716-273-5079x3555,1994-01-19,1971-01-28T23:02:17,55,Other,Tonga,East Amymouth,$6955,Yes,Basic,Twitter,3.9,Android,64,67.85,1853.14,1988-02-07
